Mark.Site.Name,Release.Site.Name,Migration.Year,Brood.Year.YYYY,Released,PIT.Tagged,Species,Run.Name,Stock.Name,Notes
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,1997,1995,907708,4983,Chinook,Spring,CARS,
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,1998,1996,1734188,7491,Chinook,Spring,CARS,
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,1999,1997,1415744,12977,Chinook,Spring,CARS,
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,2000,1998,1430022,14992,Chinook,Spring,CARS,
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,2001,1999,1608684,14980,Chinook,Spring,CARS,
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,2002,2000,1449361,14983,Chinook,Spring,CARS,
WSPH - Warm Springs National Fish Hatchery,WSPH - Warm Springs National Fish Hatchery,2002,2000,618822,3998,Chinook,Spring,WSPH,
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,2003,2001,1673255,14975,Chinook,Spring,CARS,
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,2004,2002,1417986,14973,Chinook,Spring,CARS,
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,2005,2003,1470134,14958,Chinook,Spring,CARS,
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,2006,2004,1209384,14971,Chinook,Spring,CARS,
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,2007,2005,1158425,14943,Chinook,Spring,CARS,
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,2008,2006,1330836,14884,Chinook,Spring,CARS,
LWSH - Little White Salmon National Fish Hatchery,LWSH - Little White Salmon National Fish Hatchery,2008,2006,934438,14941,Chinook,Spring,LWSH,
LWSH - Little White Salmon National Fish Hatchery,LWSH - Little White Salmon National Fish Hatchery,2008,2007,2001760,24885,Chinook,Fall,LWSH,URB
SPRC - Spring Creek National Fish Hatchery,SPRC - Spring Creek National Fish Hatchery,2008,2007,14899270,14077,Chinook,Fall,SPRC,TULE
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,2009,2007,1216198,14975,Chinook,Spring,CARS,
LWSH - Little White Salmon National Fish Hatchery,LWSH - Little White Salmon National Fish Hatchery,2009,2007,590763,7492,Chinook,Spring,LWSH,
LWSH - Little White Salmon National Fish Hatchery,LWSH - Little White Salmon National Fish Hatchery,2009,2008,4685907,24947,Chinook,Fall,LWSH,URB
SPRC - Spring Creek National Fish Hatchery,SPRC - Spring Creek National Fish Hatchery,2009,2008,11252949,14636,Chinook,Fall,SPRC,TULE
WILL - Willard National Fish Hatchery,WILL - Willard National Fish Hatchery,2009,2007,424569,7498,Chinook,Spring,WILL,
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,2010,2008,1278492,14940,Chinook,Spring,CARS,Stock should be changed to CARSON in PTAGIS in two PTAGIS files
LWSH - Little White Salmon National Fish Hatchery,LWSH - Little White Salmon National Fish Hatchery,2010,2008,584803,7467,Chinook,Spring,LWSH,
LWSH - Little White Salmon National Fish Hatchery,LWSH - Little White Salmon National Fish Hatchery,2010,2009,4551259,24951,Chinook,Fall,LWSH,URB
SPRC - Spring Creek National Fish Hatchery,SPRC - Spring Creek National Fish Hatchery,2010,2009,10750561,14933,Chinook,Fall,SPRC,TULE
WILL - Willard National Fish Hatchery,WILL - Willard National Fish Hatchery,2010,2008,425541,7453,Chinook,Spring,WILL,
WSPH - Warm Springs National Fish Hatchery,WSPH - Warm Springs National Fish Hatchery,2010,2008,705241,14907,Chinook,Spring,WSPH,
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,2011,2009,1058771,29548,Chinook,Spring,CARS,
LWSH - Little White Salmon National Fish Hatchery,LWSH - Little White Salmon National Fish Hatchery,2011,2009,600733,7482,Chinook,Spring,LWSH,
LWSH - Little White Salmon National Fish Hatchery,LWSH - Little White Salmon National Fish Hatchery,2011,2010,4475868,24878,Chinook,Fall,LWSH,URB
SPRC - Spring Creek National Fish Hatchery,SPRC - Spring Creek National Fish Hatchery,2011,2010,10863339,14939,Chinook,Fall,SPRC,TULE
WILL - Willard National Fish Hatchery,WILL - Willard National Fish Hatchery,2011,2009,399953,7490,Chinook,Spring,WILL,
WSPH - Warm Springs National Fish Hatchery,WSPH - Warm Springs National Fish Hatchery,2011,2009,319887,14924,Chinook,Spring,WSPH,Warm Springs Stock
WSPH - Warm Springs National Fish Hatchery,WSPH - Warm Springs National Fish Hatchery,2011,2009,217393,0,Chinook,Spring,ROBU,Round Butte Stock
CARS - Carson National Fish Hatchery,CARS - Carson National Fish Hatchery,2012,2010,1126365,29479,Chinook,Spring,CARS,
LWSH - Little White Salmon National Fish Hatchery,LWSH - Little White Salmon National Fish Hatchery,2012,2010,759161,11959,Chinook,Spring,LWSH,
